info,vehicle_id,link,record_date,vehicle_type
华泰新能源 华泰EV160B 2017款 基本型2018年|700公里|唐山4.00万准新车11.20万新上架,63896020@2@7@0&0120000000000057,https://www.guazi.com/tangshan/b71a514f9e79ec5dx.htm#fr_page=list&fr_pos=city&fr_no=7,2018-12-03,EV
北汽新能源 EV系列 2016款 EV160 轻快版2016年|100公里|青岛4.38万19.30万新上架,63752875@2@8@0&0120000000000057,https://www.guazi.com/qd/bd1deeaff0294963x.htm#fr_page=list&fr_pos=city&fr_no=8,2018-12-03,EV
北汽新能源EC系列 2017款 EC180 灵动版2016年|1.1万公里|益阳3.58万16.50万长沙过户,24224123@2@9@0&0120000000000057,https://www.guazi.com/yiyang/b02bcf8f3c28f84ax.htm#fr_page=list&fr_pos=city&fr_no=9,2018-12-03,EV
众泰E200 2018款 飞鱼座2018年|100公里|杭州4.80万急售准新车19.70万急降1000元,58055070@2@10@0&0120000000000057,https://www.guazi.com/hz/a670af461c58d62ax.htm#fr_page=list&fr_pos=city&fr_no=10,2018-12-03,EV
川汽野马 野马U能E350 2017款 乐享版2018年|1.1万公里|兰州12.80万超值急售准新车27.10万急降7000元,59882320@2@11@0&0120000000000057,https://www.guazi.com/lz/3df5c68ae3751a18x.htm#fr_page=list&fr_pos=city&fr_no=11,2018-12-03,EV
江淮iEV 2015款 iEV4 豪华型2015年|4.0万公里|上海3.20万16.60万新上架,63933289@2@12@0&0120000000000057,https://www.guazi.com/sh/ecca8e40024b5353x.htm#fr_page=list&fr_pos=city&fr_no=12,2018-12-03,EV
北汽新能源 EV系列 2015款 EV160 轻快版2015年|4.4万公里|北京3.40万19.20万,62975090@2@13@0&0120000000000057,https://www.guazi.com/bj/4f38affc454cd3b2x.htm#fr_page=list&fr_pos=city&fr_no=13,2018-12-03,EV
江淮iEV 2015款 iEV52016年|3.3万公里|北京4.00万19.50万,62801480@2@14@0&0120000000000057,https://www.guazi.com/bj/15b86172ade2616ax.htm#fr_page=list&fr_pos=city&fr_no=14,2018-12-03,EV
知豆D2 2016款 D2S2017年|0.4万公里|深圳3.00万急售准新车20.50万急降2000元,58140145@2@15@0&0120000000000057,https://www.guazi.com/sz/e4ec4c1587ffc27cx.htm#fr_page=list&fr_pos=city&fr_no=15,2018-12-03,EV
众泰E200 2016款 三门两座科技版2016年|2.2万公里|泉州4.20万19.70万新上架厦门过户,63653377@2@16@0&0120000000000057,https://www.guazi.com/quanzhou/e182d3c919e9024dx.htm#fr_page=list&fr_pos=city&fr_no=16,2018-12-03,EV
吉利 帝豪EV 2016款 三厢 EV 尊贵型2016年|3.7万公里|北京8.20万27.10万新上架,63708202@2@17@0&0120000000000057,https://www.guazi.com/bj/b2ab006407028b8ex.htm#fr_page=list&fr_pos=city&fr_no=17,2018-12-03,EV
华泰新能源 华泰EV160B 2017款 基本型2018年|1.1万公里|北京3.15万超值急售准新车11.20万急降3500元,59189204@2@18@0&0120000000000057,https://www.guazi.com/bj/2705db2efdd4a079x.htm#fr_page=list&fr_pos=city&fr_no=18,2018-12-03,EV
康迪 2016款 K10D2016年|1.6万公里|天津2.39万16.40万,49660444@2@19@0&0120000000000057,https://www.guazi.com/tj/0412b86768e422e2x.htm#fr_page=list&fr_pos=city&fr_no=19,2018-12-03,EV
江淮iEV 2015款 iEV52016年|1.3万公里|北京4.00万19.50万,63518835@2@20@0&0120000000000057,https://www.guazi.com/bj/e733493ef11b701cx.htm#fr_page=list&fr_pos=city&fr_no=20,2018-12-03,EV
长安 奔奔 2017款 纯电动 210公里豪华型2017年|3.6万公里|北京4.70万超值18.60万,63527184@2@21@0&0120000000000057,https://www.guazi.com/bj/33bc83e61802ae02x.htm#fr_page=list&fr_pos=city&fr_no=21,2018-12-03,EV
江淮iEV 2015款 iEV52015年|3.0万公里|北京3.80万急售19.50万急降2000元,59596721@2@22@0&0120000000000057,https://www.guazi.com/bj/fdb8fc9d18f21207x.htm#fr_page=list&fr_pos=city&fr_no=22,2018-12-03,EV
北汽新能源 EV系列 2016款 EV160 轻秀版2016年|4.1万公里|北京3.50万20.60万,63369121@2@23@0&0120000000000057,https://www.guazi.com/bj/eac86b842ab3bd4ax.htm#fr_page=list&fr_pos=city&fr_no=23,2018-12-03,EV
海马爱尚EV 2017款 EV1602017年|1.3万公里|郑州3.50万急售准新车13.40万急降2000元,62215059@2@24@0&0120000000000057,https://www.guazi.com/zz/7ad7e45087ea48ccx.htm#fr_page=list&fr_pos=city&fr_no=24,2018-12-03,EV
江铃集团新能源 江淮iEV6E 2017款 iEV6E2017年|0.7万公里|北京4.00万准新车13.90万新上架,62964469@2@25@0&0120000000000057,https://www.guazi.com/bj/91de3e3dea1de968x.htm#fr_page=list&fr_pos=city&fr_no=25,2018-12-03,EV
北汽新能源 EV系列 2015款 EV200 轻快版2015年|2.4万公里|北京4.40万22.70万,58536494@2@26@0&0120000000000057,https://www.guazi.com/bj/4e84266eec431f97x.htm#fr_page=list&fr_pos=city&fr_no=26,2018-12-03,EV
长安 奔奔 2017款 纯电动 180公里标准型2017年|2.5万公里|北京4.10万超值准新车16.80万,62803510@2@27@0&0120000000000057,https://www.guazi.com/bj/214eb52ecaf6ece5x.htm#fr_page=list&fr_pos=city&fr_no=27,2018-12-03,EV
北汽新能源 EV系列 2015款 EV200 轻快版2016年|2.0万公里|北京5.00万急售22.70万急降2000元,57886362@2@28@0&0120000000000057,https://www.guazi.com/bj/6f88ff964dd802f6x.htm#fr_page=list&fr_pos=city&fr_no=28,2018-12-03,EV
长安 奔奔 2017款 纯电动 210公里时尚型2017年|2.1万公里|北京4.50万超值急售准新车18.10万急降5000元,58164207@2@29@0&0120000000000057,https://www.guazi.com/bj/0420fc912977efa7x.htm#fr_page=list&fr_pos=city&fr_no=29,2018-12-03,EV
