licensing_time_data,miles_data,general_transmission_data,make_data,type_data,transmission_data,engine_data,body_structure_data,length_width_height_data,wheelbase_data,total_mass_data,backtrunk_size_data,displacement_data,intake_style_data,cylinder_data,housepower_data,gas_engine_torque_data,fuel_type_data,electric_engine_type_data,battery_type_data,battery_volume_data,battery_power_data,battery_torque_data,endurance_miles_data,vehicle_id,location,model
2018-01,0.01万公里,自动,北汽新能源,微型车,1档固定齿比变速箱,,5门4座两厢车,3675/1630/1518,2360,1050,-,,,,,,,-,三元锂电池,20.3,30,140,156,33161084,泰安,北汽新能源EC系列 2017款 EC180 灵动版
2016-03,5.08万公里,自动,江淮汽车,小型车,1档固定齿比变速箱,,4门4座三厢车,4190/1650/1445,2400,-,-,,,,,,,永磁 / 同步,磷酸铁锂电池,19.2,42,170,152,64008545,北京,江淮iEV 2015款 iEV4 豪华智能型
2015-08,1.75万公里,自动,江铃集团新能源,微型车,1档固定齿比变速箱,,5门4座两厢车,3427/1565/1450,2260,825,-,,,,,,,电机类型,电池类型,15,20,110,152,61241757,南昌,江铃集团新能源 江铃E100 2016款 标准型
2018-06,0.02万公里,自动,比亚迪,紧凑型车,1档固定齿比变速箱,,4门5座三厢车,4740/1770/1490,2670,-,450,,,,,,,-,磷酸铁锂电池,47.5,160,310,300,59467036,北京,比亚迪 2017款 秦EV300 旗舰型
2015-04,4.82万公里,自动,奇瑞新能源,微型车,1档固定齿比变速箱,,5门5座两厢车,3550/1495/1530,2340,1050,-,,,,,,,直流 / 同步,-,10,12,72,120,60239841,盐城,奇瑞QQ3EV 2014款 运动版
2016-12,0.01万公里,自动,北汽新能源,小型车,1档固定齿比变速箱,,5门5座两厢车,3998/1720/1503,2500,1310,220,,,,,,,永磁 / 同步,磷酸铁锂电池,25.6,45,144,150,62952121,青岛,北汽新能源 EV系列 2016款 E150EV 经典版
2017-11,0.81万公里,自动,北汽新能源,微型车,1档固定齿比变速箱,,5门4座两厢车,3675/1630/1518,2360,1050,-,,,,,,,-,三元锂电池,20.3,30,140,156,58691994,邯郸,北汽新能源 EC系列 2017款 EC180 灵动版
2016-08,2.78万公里,自动,特斯拉,中大型SUV,1档固定齿比变速箱,,5门5座SUV,5037/2070/1684,2965,2391,-,,,,,,,交流 / 异步,锂离子电池,90,386,-,489,40948323,宁波,特斯拉Model X 2016款 MODEL X 90D
2015-01,6.81万公里,自动,特斯拉,中大型车,1档固定齿比变速箱,,5门5座掀背车,4970/1964/1445,2960,2108,745-1645,,,,,,,-,-,85,310,600,502,38224080,北京,特斯拉MODEL S 2014款 MODEL S P85
2016-12,0.5万公里,自动,康迪电动汽车集团,微型车,1档固定齿比变速箱,,3门2座两厢车,2900/1545/1590,2080,970,-,,,,,,,直流 / 异步,锂离子电池,-,35,165,151,63760264,太原,康迪 2016款 K10D
