title,car_number,price,new_car_price,licensing_time,miles,license_location,battery_volume,battery_power_data,battery_torque_data,endurance_miles,make,type,record_date,RV_ratio,months
江铃集团新能源 江铃E200 2016款 舒适型  ,HC-46910772,28000.0,198000.0,2016-10-01,15400.0,大连,17.3,30.0,130.0,152.0,江铃集团新能源,微型车,2018-11-28,0.1414141414141414,25
江淮iEV7S 2017款 智尊型   ,HC-50374291,92000.0,225000.0,2018-04-01,17600.0,蚌埠,39.0,85.0,270.0,280.0,江淮汽车,小型SUV,2018-11-28,0.4088888888888889,7
江铃集团新能源 江淮iEV6E 2017款 iEV6E  ,HC-50371651,52000.0,139000.0,2017-06-01,18100.0,开封,22.0,45.0,175.0,170.0,江淮汽车,微型车,2018-11-28,0.37410071942446044,17
众泰 2017款 云100plus 豪华型   ,HC-51186469,43700.0,118000.0,2017-12-01,3700.0,赣州,20.0,27.0,140.0,155.0,众泰汽车,微型车,2018-11-28,0.37033898305084745,11
江淮iEV 2015款 iEV4 豪华型   ,HC-46957784,33000.0,166000.0,2015-11-01,22300.0,上海,19.2,42.0,170.0,152.0,江淮汽车,小型车,2018-11-28,0.19879518072289157,36
北汽新能源 EC系列 2017款 EC180 灵动版   ,HC-49436342,52800.0,165000.0,2017-12-01,1200.0,大同,20.3,30.0,140.0,156.0,北汽新能源,微型车,2018-11-28,0.32,11
知豆D2 2017款 D2 乐享版   ,HC-46094182,42000.0,165000.0,2018-05-01,1800.0,宿州,18.0,15.0,90.0,155.0,知豆电动车,微型车,2018-11-28,0.2545454545454545,6
江淮iEV 2014款 iEV4  ,HC-49033729,33200.0,184000.0,2013-01-01,6800.000000000001,包头,19.2,42.0,170.0,152.0,江淮汽车,小型车,2018-11-28,0.18043478260869567,70
江铃集团新能源 江淮iEV6E 2017款 iEV6E   ,HC-47656001,54900.0,139000.0,2018-03-01,6800.000000000001,太原,22.0,45.0,175.0,170.0,江淮汽车,微型车,2018-11-28,0.3949640287769784,8
东风小康EC36 2017款 基本型   ,HC-50974239,62000.0,138000.0,2017-06-01,10500.0,重庆,38.2,60.0,191.0,200.0,东风小康,微面,2018-11-28,0.4492753623188406,17
江铃集团新能源 江淮iEV6E 2017款 iEV6E 时光版   ,HC-48271755,39600.0,129000.0,2017-08-01,16900.0,济宁,19.66,60.0,200.0,156.0,江淮汽车,微型车,2018-11-28,0.30697674418604654,15
昌河 北斗星X5E 2017款 EV268 畅行版   ,HC-49643007,60000.0,155000.0,2017-12-01,6500.0,天津,32.0,55.0,180.0,260.0,北汽昌河,微型车,2018-11-28,0.3870967741935484,11
知豆D1 2016款 标准型   ,HC-46230721,28000.0,172000.0,2016-11-01,19500.0,天津,18.0,15.0,95.0,180.0,知豆电动车,微型车,2018-11-28,0.16279069767441862,24
众泰 2016款 云100S 豪华型  ,HC-51682855,40500.0,184000.0,2016-11-01,12000.0,赣州,22.0,27.0,140.0,155.0,众泰汽车,微型车,2018-11-28,0.22010869565217392,24
众泰 2016款 云100S 豪华型    ,HC-48570029,40000.0,184000.0,2017-09-01,19800.0,宁波,22.0,27.0,140.0,155.0,众泰汽车,微型车,2018-11-28,0.21739130434782608,14
江淮iEV 2015款 iEV5  ,HC-49829922,60000.0,195000.0,2016-05-01,44600.0,天津,23.0,50.0,215.0,170.0,江淮汽车,小型车,2018-11-28,0.3076923076923077,30
北汽新能源 EU系列 2017款 EU260 乐途plus版    ,HC-47076074,115000.0,223000.0,2017-11-01,23800.0,上海,41.4,100.0,260.0,260.0,北汽新能源,紧凑型车,2018-11-28,0.515695067264574,12
江淮iEV 2015款 iEV4 豪华型 ,HC-51460853,42000.0,166000.0,2015-09-01,31500.0,济宁,19.2,42.0,170.0,152.0,江淮汽车,小型车,2018-11-28,0.25301204819277107,38
北汽新能源 EV系列 2015款 EV160 轻快版   ,HC-46615229,43000.0,192000.0,2015-07-01,44200.0,上海,25.6,53.0,180.0,160.0,北汽新能源,小型车,2018-11-28,0.22395833333333334,40
北汽新能源 EV系列 2015款 EV160 轻快版   ,HC-46542270,40000.0,192000.0,2015-09-01,60199.99999999999,上海,25.6,53.0,180.0,160.0,北汽新能源,小型车,2018-11-28,0.20833333333333334,38
江铃集团新能源 江淮iEV6E 2017款 iEV6E   ,HC-44821521,48000.0,139000.0,2017-07-01,7700.0,北京,22.0,45.0,175.0,170.0,江淮汽车,微型车,2018-11-28,0.34532374100719426,16
腾势 2017款 荣耀版  ,HC-52353926,250000.0,470000.0,2017-11-01,11800.0,岳阳,62.0,135.0,300.0,352.0,腾势汽车,中型车,2018-11-28,0.5319148936170213,12
北汽新能源 EC系列 2017款 EC180 灵动版    ,HC-44612041,36500.0,165000.0,2017-08-01,12900.0,烟台,20.3,30.0,140.0,156.0,北汽新能源,微型车,2018-11-28,0.22121212121212122,15
江淮iEV6S 2016款 智享版  ,HC-49490863,83699.99999999999,239000.0,2016-09-01,8000.0,开封,33.0,85.0,270.0,251.0,江淮汽车,小型SUV,2018-11-28,0.35020920502092046,26
特斯拉MODEL S 2014款 MODEL S 85   ,HC-44134873,460000.0,797000.0,2014-09-01,49100.0,上海,85.0,270.0,440.0,502.0,特斯拉,中大型车,2018-11-28,0.5771643663739021,50
长城C30新能源 2017款 EV 悦享型  ,HC-44733113,64000.0,163000.0,2017-10-01,37800.0,杭州,26.57,90.0,240.0,200.0,长城汽车,紧凑型车,2018-11-28,0.39263803680981596,13
知豆D2 2017款 D2 乐享版   ,HC-44923381,30000.0,165000.0,2017-11-01,12700.0,杭州,18.0,15.0,90.0,155.0,知豆电动车,微型车,2018-11-28,0.18181818181818182,12
北汽新能源 EC系列 2017款 EC180 灵秀版  ,HC-45865037,39800.0,171000.0,2017-03-01,23000.0,台州,20.3,30.0,140.0,156.0,北汽新能源,微型车,2018-11-28,0.2327485380116959,20
奇瑞eQ1 2017款 智享版 2座   ,HC-47546646,50000.0,176000.0,2018-05-01,3500.0,马鞍山,18.2,30.0,120.0,151.0,奇瑞新能源,微型车,2018-11-28,0.2840909090909091,6
奇瑞eQ1 2017款 智享版 2座  ,HC-45598291,37000.0,176000.0,2017-06-01,46700.0,深圳,18.2,30.0,120.0,151.0,奇瑞新能源,微型车,2018-11-28,0.21022727272727273,17
江淮iEV 2015款 iEV5  ,HC-46357421,60000.0,195000.0,2016-12-01,800.0,桂林,23.0,50.0,215.0,170.0,江淮汽车,小型车,2018-11-28,0.3076923076923077,23
长安欧尚 欧力威EV 2017款 精英型    ,HC-44822107,67000.0,172000.0,2017-12-01,11399.999999999998,太原,34.6,67.0,240.0,252.0,长安汽车,小型车,2018-11-28,0.38953488372093026,11
奇瑞eQ1 2017款 智炫版 2座  ,HC-44156162,40000.0,180000.0,2017-07-01,32700.0,上海,18.2,30.0,120.0,151.0,奇瑞新能源,微型车,2018-11-28,0.2222222222222222,16
知豆D1 2016款 标准型 ,HC-44638595,24900.000000000004,172000.0,2015-05-01,16700.0,唐山,18.0,15.0,95.0,180.0,知豆电动车,微型车,2018-11-28,0.14476744186046514,42
北汽新能源 EC系列 2017款 EC180 灵动版   ,HC-44333666,45000.0,165000.0,2018-05-01,4300.0,石家庄,20.3,30.0,140.0,156.0,北汽新能源,微型车,2018-11-28,0.2727272727272727,6
知豆D1 2016款 标准型  ,HC-44874819,26000.0,172000.0,2016-11-01,34500.0,厦门,18.0,15.0,95.0,180.0,知豆电动车,微型车,2018-11-28,0.1511627906976744,24
腾势 2014款 尊贵版  ,HC-46365449,180000.0,433000.0,2016-08-01,28900.0,北京,47.5,86.0,290.0,253.0,腾势汽车,中型车,2018-11-28,0.41570438799076215,27
比亚迪e5 2016款 300 豪华型 ,HC-49157418,85000.0,260000.0,2016-08-01,115000.0,重庆,43.0,160.0,310.0,305.0,比亚迪,紧凑型车,2018-11-28,0.3269230769230769,27
比亚迪e6 2014款 豪华版 ,HC-48482834,108000.0,336000.0,2014-12-01,38900.0,南通,57.0,90.0,450.0,300.0,比亚迪,MPV,2018-11-28,0.32142857142857145,47
江铃集团新能源 江铃E200 2016款 标准型   ,HC-46936085,40500.0,195000.0,2017-12-01,100.0,临沂,17.3,30.0,130.0,152.0,江铃集团新能源,微型车,2018-11-28,0.2076923076923077,11
江淮iEV 2017款 iEV7   ,HC-47905215,59000.0,172000.0,2017-05-01,13600.000000000002,自贡,24.0,50.0,215.0,180.0,江淮汽车,小型车,2018-11-28,0.3430232558139535,18
众泰E200 2016款 三门两座科技版  ,HC-47906191,50000.0,197000.0,2017-11-01,2300.0,宿州,24.5,60.0,165.0,155.0,众泰汽车,微型车,2018-11-28,0.25380710659898476,12
江铃集团新能源 江铃E200 2016款 舒适型  ,HC-46192802,39800.0,198000.0,2018-04-01,700.0000000000001,许昌,17.3,30.0,130.0,152.0,江铃集团新能源,微型车,2018-11-28,0.201010101010101,7
众泰 芝麻 2017款 标准型    ,HC-48221707,38000.0,130000.0,2017-11-01,5600.000000000001,焦作,16.0,30.0,150.0,150.0,众泰汽车,微型车,2018-11-28,0.2923076923076923,12
江铃集团新能源 江淮iEV6E 2017款 iEV6E  ,HC-46634049,52000.0,139000.0,2018-03-01,6800.000000000001,商丘,22.0,45.0,175.0,170.0,江淮汽车,微型车,2018-11-28,0.37410071942446044,8
众泰E200 2016款 三门两座科技版  ,HC-52630955,50000.0,197000.0,2016-11-01,10700.0,青岛,24.5,60.0,165.0,155.0,众泰汽车,微型车,2018-11-28,0.25380710659898476,24
吉利 帝豪EV 2016款 三厢 EV 尊贵型  ,HC-46302272,120000.0,271000.0,2016-10-01,38100.0,上海,45.3,95.0,240.0,253.0,吉利汽车,紧凑型车,2018-11-28,0.44280442804428044,25
